name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
White River Light,43.3747,-86.4243,Lighthouse,,,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/White%20River%20Light%20-%20Michigan.jpg,https://en.wikipedia.org/wiki/White_River_Light,Muskegon,
William Livingstone Memorial Light,42.346944,-82.954444,Lighthouse,1930,1930-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Livingstone%20Memorial%20Lighthouse%2C%20Belle%20Isle%20%28NBY%202492%29.jpg,https://en.wikipedia.org/wiki/William_Livingstone_Memorial_Light,Wayne,
Windmill Point Light,42.3576,-82.9318,Lighthouse,1933,1933-01-01,,http://commons.wikimedia.org/wiki/Special:FilePath/WindmillPointLight.jpg,https://en.wikipedia.org/wiki/Windmill_Point_Light_(Michigan),Wayne,
Pentwater Light,43.781667,-86.444167,Lighthouse,1873,1873-01-01,lighthouse built 1873,http://commons.wikimedia.org/wiki/Special:FilePath/Pentwater%20Walkin%20the%20Beach%20%283757746115%29.jpg,,Oceana,
Jacobsville Lighthouse,46.977992,-88.41407,Lighthouse,,,"deactivated lighthouse in Houghton County, Michigan",http://commons.wikimedia.org/wiki/Special:FilePath/Jacobsville%20Lighthouse%20Lake%20Linden%20Michigan%202021-4392.jpg,,Houghton,
Grand Haven North Pierhead Light,43.058222,-86.256056,Lighthouse,1921,1921-01-01,lighthouse,http://commons.wikimedia.org/wiki/Special:FilePath/Beacon%20on%20ice%20%283214878045%29.jpg,,Ottawa,
Grand Marais Harbor of Refuge Outer Light,46.683889,-85.972222,Lighthouse,,,lighthouse in Michigan,http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Marais%20Harbor%20of%20Refuge%20Outer%20Light%20%28June%202021%29.jpg,,Alger,
Grand Island Harbor Front Range Light,46.438889,-86.692222,Lighthouse,1868,1868-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Island%20Harbor%20Front%20Range%20Light%202009a.jpg,,Alger,
Pentwater South Pierhead Light,43.781667,-86.444167,Lighthouse,1937,1937-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/Pentwater%20South%20Pierhead%20Light.png,,Oceana,
Pentwater North Pierhead Light,43.7825,-86.443889,Lighthouse,1997,1997-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/Pentwater%20Walkin%20the%20Beach%20%283757749789%29.jpg,,Oceana,
Saugatuck Harbour lighthouse,42.676944,-86.215833,Lighthouse,1909,1909-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/Saugatuck%20Harbor%20Navigation%20Structures%201.jpg,,Allegan,
St. Joseph North Pier Outer Light,42.116389,-86.494722,Lighthouse,1906,1906-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Joseph%20North%20Pier%20Lights%20%2811876813613%29.jpg,,Berrien,
St. Joseph North Pier Inner Light,42.116111,-86.493611,Lighthouse,1907,1907-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Joseph%20North%20Pier%20Lights%20%2831046571021%29.jpg,,Berrien,
Caseville Harbor Light,43.945833,-83.28,Lighthouse,2001,2001-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/Caseville%20Harbor%20Light%20%28Michigan%29.jpg,,Huron,
St. Clair Flats Range Front Light,42.537778,-82.693333,Lighthouse,1859,1859-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/St%20clair%201904f%20300.jpg,,St. Clair,
Lake St. Clair light,42.465278,-82.754444,Lighthouse,1938,1938-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/St%20clair%201904f%20300.jpg,,Macomb,
Windmill Point Light,42.3575,-82.929722,Lighthouse,1838,1838-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/Windmill%20Point%20Lighthouse%20on%20the%20Detroit%20River.jpg,,Wayne,
