name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Isle Royale National Park,48.01145819,-88.82780657,National Park,,,"Explore a rugged, isolated island far from our connected communities. Isle Royale offers adventures for backpackers, hikers, boaters, paddlers, and divers. Cross Lake Superior and make a commitment: Become a part of this island, and let it become a part of you. Find peace and refuge in island wilderness – because Isle Royale, in turn, finds refuge in us. Help Isle Royale stay wild.",https://www.nps.gov/common/uploads/structured_data/3C7AC355-1DD8-B71B-0B9C2F07853F39F1.jpg,https://www.nps.gov/isro/index.htm,Keweenaw,
Keweenaw National Historical Park,47.1792308,-88.52275344,National Historical Park,,,"The stories of people and copper in the Keweenaw Peninsula have been intertwined for more than 7,000 years. Indigenous peoples made copper into tools and trade items. Investors and immigrants arrived in the 1800s in a great mineral rush, developing thriving industries and cosmopolitan communities. Though the mines have since closed, their mark is still visible on the land and people.",https://www.nps.gov/common/uploads/structured_data/3C7D1933-1DD8-B71B-0BDEE535F0C69BBC.jpg,https://www.nps.gov/kewe/index.htm,Houghton,
North Country National Scenic Trail,46.334400743,-90.8165630499,National Scenic Trail,,,"Come to the North Country. Trek the hills and valleys. Stand on the shores of lakes & streams from glaciers 10,000 years before. Clear-flowing water, red/gold of autumn, a fairyland of snow, open prairies, and distant horizons paint the land. Historic sites along the way tell how America settled and grew as a nation. From North Dakota to Vermont, adventure is never far away.",https://www.nps.gov/common/uploads/structured_data/3C834C15-1DD8-B71B-0BDB0B3A229F398B.jpg,https://www.nps.gov/noco/index.htm,,
Pictured Rocks National Lakeshore,46.56435642,-86.31628733,National Lakeshore,,,"Sandstone cliffs, beaches, waterfalls, sand dunes, inland lakes, deep forest, and wild shoreline beckon you to visit Pictured Rocks National Lakeshore. The power of Lake Superior shapes the park's coastal features and affects every ecosystem, creating a unique landscape to explore. Hiking, camping, sightseeing, and four-season outdoor opportunities abound.",https://www.nps.gov/common/uploads/structured_data/B502655F-03A4-E3C2-33CEA40037E6DC09.jpg,https://www.nps.gov/piro/index.htm,Alger,
River Raisin National Battlefield Park,41.91291085,-83.37620464,National Battlefield Park,,,"River Raisin NBP preserves, commemorates, and interprets the January 1813 battles of the War of 1812 and their aftermath. Battles that resulted in the greatest victory for Tecumseh’s Confederation and the British and the greatest defeat for the U.S. The aftermath led to U.S. Indian laws that forced the removal, relocation, and assimilation of native nations, an aftermath that continues today.",https://www.nps.gov/common/uploads/structured_data/3C7C380D-1DD8-B71B-0BB6B63A283B9B55.jpg,https://www.nps.gov/rira/index.htm,Monroe,
Sleeping Bear Dunes National Lakeshore,44.92844962,-86.02706591,National Lakeshore,,,"Miles of sand beach, bluffs that tower 450’ above Lake Michigan, lush forests, clear inland lakes, unique flora and fauna make up the natural world of Sleeping Bear Dunes. High dunes afford spectacular views across the lake. An island lighthouse, US Life-Saving Service stations, coastal villages, and picturesque farmsteads reflect the park’s rich maritime, agricultural, and recreational history.",https://www.nps.gov/common/uploads/structured_data/3C83211B-1DD8-B71B-0B994B42F70185F2.jpg,https://www.nps.gov/slbe/index.htm,Leelanau,
