name,latitude,longitude,subtype,year,description,image_url,official_url,county,city
Superintendent's Cottage,43.00566950200016,-83.70211066899986,building,2012,"Michigan School for the Deaf
In 1848 the Michigan legislature established the Michigan Asylum for Educating the Deaf and Dumb and the Blind. Flint was selected as the site for the new institution. The first student arrived on February 6, 1854. After the School for the Blind opened in Lansing in 1880, the Flint facility began serving only deaf children. The curriculum, which combined academics and practical training, emphasized “market gardening and general farming.” Boys studied carpentry, printing, tailoring, and farming, while girls learned the sciences of cooking, sewing, darning, and patc…",,https://catalog.archives.gov/id/25339294,Genesee,Flint
Delhi Bridge,42.3336764440001,-83.8092977519999,structure,2012,"Delhi Bridge
The Delhi Bridge was one of many Pratt through truss iron bridges built to order by the Wrought Iron Bridge Company of Canton, Ohio, between 1876 and 1899 to span the Huron River. It was listed in the National Register of Historic Places in 2008. Once common in Michigan, few bridges of this type survived into the twenty-first century. Built to serve the thriving agricultural village of Delhi Mills, it replaced earlier wooden foot and wagon bridges that crossed the river at a traditional ford. In the 1870s Delhi Mills was home to two flouring mills, a saw and woolen mill, a plaste…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/365/attachments/448,https://catalog.archives.gov/id/25340706,Washtenaw,Scio
Battle Creek Post Office,42.31737207700012,-85.18003373699997,building,2012,"Battle Creek Post Office
The second Battle Creek Post Office, one of Albert Kahn’s earliest commissions, opened in 1907. He designed the structure with reinforced concrete supports, an innovation he later used in his internationally renowned factory designs. The building’s stone trim and repeating arches exemplify Second Renaissance Revival architecture. The post office became the Calhoun County Hall of Justice in 1978. The structure was listed on the National Register of Historic Places in 1972.",,https://catalog.archives.gov/id/25339018,Calhoun,Battle Creek
Ada Covered Bridge,42.952251178999965,-85.4861425189999,structure,2012,"Ada Covered Bridge
An act of the legislature in 1867 authorized Ada Township to borrow up to three thousand dollars for the purpose of building or repairing bridges in the township. This bridge was built about that time, apparently by William Holmes. The design for the trusses was patented by Josiah Brown in 1857. A timber bearing his name was uncovered during repair work. The bridge has been threatened by floods a number of times. It is said that farmers used to drive wagons loaded with stone onto the bridge during high water to hold it to the foundation. The bridge was closed to automobile…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/376/attachments/464,https://catalog.archives.gov/id/25339750,Kent,Ada
HURON (lightship),42.989337872000185,-82.4265869379999,structure,2012,"Huron Lightship
Commissioned in 1921, the Huron began service as relief vessel for other Great Lakes lightships. She is ninety-seven feet long, twenty-four feet in beam, and carried a crew of eleven. On clear nights her beacon could be seen for fourteen miles. After serving in northern Lake Michigan the Huron was assigned to the Corsica Shoals in 1935. These shallow waters, six miles north of Port Huron, were the scene of frequent groundings by lake freighters in the late nineteenth century. A lightship station had been established there in 1893, since the manned ships were more reliable than…",,https://catalog.archives.gov/id/25340523,St. Clair,Port Huron
Villa Maria,42.98364477400002,-85.70055564399996,building,2012,"Villa Maria
Villa Maria was founded by the Sisters of the Good Shepherd in 1904 as a haven for destitute young women. Many girls came here seeking shelter from negligent or abusive families; in later years some were referred by social service agencies. Villa Maria’s mission was not only to educate, but to teach self-discipline and offer the women a new start. Residents learned a variety of skills so that they could become independent. The home was first located on Bridge Street and moved to the present site in 1904. In 1985 it became a retirement center.",,https://catalog.archives.gov/id/25339748,Kent,Grand Rapids
St. John's Episcopal Church,43.599752779000134,-84.77786043099997,building,2012,"Saint John's Episcopal Church
A mission was organized in Mount Pleasant in 1876, and in 1882 the present building was begun. Local businessman William N. Brown contributed most of the building funds, and the bricks and lumber were made in his plants. The interior design of St. John’s was adopted from a chapel on the English estate of the Duke of Devonshire. The Right Reverend George D. Gillespie consecrated the church in a three-hour ceremony on January 10, 1884, after which parishioners repaired to a local hotel for a ten-course dinner.",,https://catalog.archives.gov/id/25339572,Isabella,Mount Pleasant
Doughty House,43.60598345600006,-84.77416158499989,building,2012,"Doughty House
Built about 1865 this oldest remaining house in Mount Pleasant was purchased by Wilkinson Doughty in 1869. An early hardware and dry goods merchant, Doughty was a town trustee, and a founder of Central Michigan Normal School, now Central Michigan University. A carefully preserved example of balloon frame pioneer architecture, the house has remained in the family since Doughty’s death in 1909. It was listed on the National Register of Historic Places in 1974.",,https://catalog.archives.gov/id/25339574,Isabella,Mount Pleasant
Mikulich General Store,46.26050504000011,-86.96952565999987,building,2012,"Mikulich General Store
Traunik was the heart of a large ethnic community that developed in the early 1900s, when Slovenians who cut timber settled on the cutover land. This store, built in 1922-23, was purchased by Louis Mikulich in 1925. Mikulich’s store was the social and economic center for the community. In 1927 Mikulich became postmaster and opened an office in the store. His family’s residence was on the second floor. The Mikulich General Store was listed in the National Register of Historic Places in 1993.",,https://catalog.archives.gov/id/25338803,Alger,Traunik
Union Depot,43.23299999500016,-86.25796050599992,building,2012,"Union Depot
The Union Depot opened in 1895 to serve the Chicago and West Michigan Railway; the Muskegon, Grand Rapids and Indiana Railroad; and the Toledo, Saginaw and Muskegon Railroad. A. W. Rush and Son of Grand Rapids designed the Richardsonian Romanesque station. Several national political figures paused at the depot during whistle stop campaigns. In 1896 William Jennings Bryan stopped during the first of three unsuccessful presidential bids. The 1952 campaign brought Republican vice presidential candidate, and future president, Richard M. Nixon to Muskegon, as well as President Harry S…",,https://catalog.archives.gov/id/25340179,Muskegon,Muskegon
Wing House,41.938874182000134,-84.9974570519999,building,2012,"Wing House Museum
Lucius M. Wing (1839-1921), Civil War captain, county sheriff, and prominent businessman, purchased this residence in 1882. That same year he served a term as mayor. Making notable contributions to the industrial, financial and social life of the city, he was the long-time president of a local bank, a manufacturer of cigars, and founder of the Bon Ami Social Club. The house remained in the family for three generations until acquired by the Branch County Historical Society in 1974 for use as a historical museum.

Wing House Museum
This impressive Scond Empire-style home with…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/434/attachments/510,https://catalog.archives.gov/id/25338973,Branch,Coldwater
"Sweet, Ossian H., House",42.370190186000166,-82.98446952299997,building,2022,"Ossian Sweet House
African American physician Ossian Sweet and his wife, Gladys, purchased this house in May 1925.  When the Sweets moved into their home on September 8 white residents who objected to blacks moving into the neighborhood formed a crowd on the street.  The next day hundreds of people converged on the corner of Charlevoix and Garland Streets intent on driving the Sweets from their home.  The mob threw rocks and bricks at the house while the Sweets and nine others took refuge inside.  In the evening shots rang out and a white man was killed.  The police charged the people inside…",,https://catalog.archives.gov/id/25341110,Wayne,Detroit
