name,latitude,longitude,subtype,year,description,image_url,official_url,county,city
"McColl, James, House",43.12681759000004,-82.79859309599995,building,2012,"James McColl House
This Queen Anne-style structure was erected in 1899 by Scottish-born James Livingston. He gave the house to his daughter, Louise Livingston McColl. During the late nineteenth century Livingston and his son-in-law, James McColl, produced linseed oil and twine in their flax mills in Michigan and Canada. At the time this house was built, McColl was also village president. The elaborate wood-frame home remained in the McColl family until 1980.",,https://catalog.archives.gov/id/25340501,St. Clair,Yale
Sashabaw Presbyterian Church,42.719282083000145,-83.36210102099994,building,2012,"Sashabaw United Presbyterian Church
This church structure, one of the oldest in the Detroit Presbytery, was erected by a church building society which was organized on January 20, 1855. A fine example of the classic New England church, it was built and furnished for three thousand dollars. It was dedicated in June 1856 as the house of worship for the First Presbyterian Church of Independence. The congregation had been organized in 1840 under the Plan of Union as the Church of Orion and Independence. Because of a small membership, the church in 1932 was dissolved. When Sashabaw United Presbyte…",,https://catalog.archives.gov/id/25340286,Oakland,Clarkston
Gugel Bridge,43.32903149700008,-83.776361604,structure,2012,"Gugel Bridge
Built in 1904, this 204-foot-long bridge carried the Detroit and Saginaw Turnpike over the Cass River in Bridgeport Township.  By around 1919 the pike, which had become the well-traveled Dixie Highway, required a more substantial crossing, and the bridge was replaced and relocated to this site.  The bridge closed in 1979.  William “Tiny” Zehnder had the structure restored as a pedestrian bridge in 2004.  The Gugel Bridge is listed in the National Historic Register of Historic Places.

Gugel Bridge
The Joliet Bridge and Iron Company built at least 25 bridges in Michigan, several o…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/108/attachments/136,https://catalog.archives.gov/id/25340434,Saginaw,Frankenmuth Township
Bellevue Mill,42.445871100000026,-85.01610931199991,building,2012,"Bellevue Gothic Mill
Horatio Hall built this mill for Manlius Mann in 1854. Powered by water from the Battle Creek, a three-ton overshot waterwheel in the basement turned three pairs of millstones that ground grain from local farmers into flour. Before vertical grain elevators came into use, a rope hoist in the western roof peak lifted grain to the appropriate level. It was manually pulled through the corresponding vertical door to be processed. Grain products produced here included corn meal, bran, white, whole wheat and biscuit flour. In 1873 Mann sold the mill to Hiram Ovenshire and Daniel…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/124/attachments/153,https://catalog.archives.gov/id/25339254,Eaton,Bellevue
Bingham District No. 5 Schoolhouse,44.87570379500017,-85.67481450899997,building,2012,"Bingham District No. 5 Schoolhouse
This school was erected in 1877 to replace a log structure built in 1870. The school has two rooms that housed grades one through eight. Older children attended school in Suttons Bay or Traverse City. Sunday school classes met here until 1888 when an Evangelical church was built across the road. Bingham prospered during the lumber boom of the 1870s and 1880s. By 1910 area timber was depleted, and Bingham’s population declined. This building served as a school until after World War II. It has been used as the township hall for many years. In 1987 the school w…",,https://catalog.archives.gov/id/25339840,Leelanau,Bingham
Fifty-Seventh Street Bridge,42.65154750800013,-86.10702704699997,structure,2012,"57th Street Bridge
Spanning the Kalamazoo River, this 422-foot bridge is one of Michigan´s longest pony truss highway bridges, and among the oldest survivng swing bridges in the United States. The Milwaukee Bridge and Iron Company fabricated the $5,000 structure, which has four primary and eight short approach spans, to serve traffic on Fifty-Seventh Street near New Richmond. Of the four primary Warren pony truss spans, three date from 1879 (including a 89-foot long swing span) and one from 1899. To allow boats to pass, a bridge tender rotated open the swing span. The bridge was closed to mot…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/130/attachments/162,https://catalog.archives.gov/id/25338831,Allegan,Manlius Township
Cobbs and Mitchell Building,44.2482719630001,-85.39737828999995,building,2012,"Cobbs and Mitchell Building
In 1905 George D. Mason of Detroit designed this brick and limestone building as a showplace for the products of Cobbs and Mitchell, Incorporated, a nationally known lumber company. Completed in 1907, the building’s interior is finished in nine varieties of native Michigan wood—elm, white maple, bird’s eye maple, sap birch, red birch, curly red birch, red beech, red oak, and hemlock. The company was named for Jonathan W. Cobbs (1828 1898) and William W. Mitchell (1854 1915). Their families were prime movers in the growth of the city of Cadillac and developed much o…",,https://catalog.archives.gov/id/25341186,Wexford,Cadillac
"Porter, John J. and Eva Reynier, Estate",45.179002633000096,-85.16250558699983,district,2012,"John and Eva Porter Estate
Elm Pointe is an eleven acre estate developed c. 1926 by John J. and Eva Porter. The house, designed by Grand Rapids architect J. Alexander McColl, was constructed of lumber milled by the East Jordan Lumber Company. An unusual, contemporary version of Colonial architecture, the house provided a showcase for the company’s products when the Porters entertained clients. Robert W. and Augustine Allen purchased the estate in 1942 to use as a summer home. They built the lodge in the early 1940s. Augustine Allen Westgate donated the property with many of its original furni…",,https://catalog.archives.gov/id/25339100,Charlevoix,South Arm Township
Capital Bank Tower,42.73290648800007,-84.55315387999991,building,2012,"Capital Bank Tower
Upon its completion in 1931, the Capital Bank Tower was hailed by newspapers as the tallest building in the state beyond Detroit. Industrialist and Capital Bank president Ranson E. Olds commissioned the three hundred-foot skyscraper, which housed the bank in the four lower floors and office space in the upper stories. To accommodate the building, the city council amended an ordinance that limited buildings to 150 feet. Hopkins and Dentz of New York designed the building. It was a major investment in Lansing by Olds, despite the Great Depression. The May 30, 1931, Lansing Ca…",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/164/attachments/186,https://catalog.archives.gov/id/25337971,Ingham,Lansing
Western Knitting Mills,42.68032099800018,-83.13117218899993,building,2012,"Western Knitting Mills
Paint Creek and the Clinton River provided power for the first woolen mill on this site in 1844. Constructed in 1896, the Western Knitting Mills building was supported by a yarn mill, dormitories and two warehouses. One of the area’s largest employers, the mill produced wool socks, gloves and mittens (1896-1916), wool cloth (1916-1927), and khaki gloves for World War I soldiers. Knitting ceased at this site in 1939.",https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Historical_Markers_Public_View/FeatureServer/0/169/attachments/191,https://catalog.archives.gov/id/25340276,Oakland,Rochester
