name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Muskegon Heritage Museum,43.2341813,-86.2483921,Local history,,,"website, featuring Muskegon's industrial, business and historic homes with working machinery",,https://en.wikipedia.org/wiki/Muskegon_Heritage_Museum?action=edit&redlink=1,Muskegon,Muskegon
Myers School Museum,43.1609623,-85.7303045,Railroad,,,19th-century schoolhouse[45],,https://en.wikipedia.org/wiki/Myers_School_Museum?action=edit&redlink=1,Kent,Sparta Township
National Miniatures Trust Museum,42.4414265,-85.3755605,Toy,,,"website, dolls and miniatures, on the grounds of the Gilmore Car Museum",,https://en.wikipedia.org/wiki/National_Miniatures_Trust_Museum?action=edit&redlink=1,Barry,Hickory Corners
Nelis' Dutch Village,42.8104797,-86.0864626,Culture,,,"website, shopping theme park featuring buildings of authentic Dutch architecture, brick walkways, canals, gardens and special presentations depicting life in a typical village in the Netherlands in the late 19th century; includes Kolean Museum featuring Dutch clothing, farm and cheese making equipment",,https://en.wikipedia.org/wiki/Nelis'_Dutch_Village?action=edit&redlink=1,Ottawa,Holland
Northeast Oakland Historical Museum,42.8247524,-83.2646624,Local history,,,website,,https://en.wikipedia.org/wiki/Northeast_Oakland_Historical_Museum?action=edit&redlink=1,Oakland,Oxford
Oceana County Historical Park,43.6819514,-86.4197997,Open-air,,,"Operated by the Oceana County Historical & Genealogical Society, includes five museums: Swift Lathers Museum, Tool Museum, Boynton Cottage Museum, Transportation Museum, Robinson Museum",,https://en.wikipedia.org/wiki/Oceana_County_Historical_&_Genealogical_Society?action=edit&redlink=1,Oceana,Mears
Old Post Office Museum,46.671434,-85.9846528,Local history,,,Operated by the Grand Marais Historical Society[37],,https://en.wikipedia.org/wiki/Old_Post_Office_Museum?action=edit&redlink=1,Alger,Grand Marais
Old Victoria,46.70267222,-89.22692222,Historic house,,,"Victorian copper mining town, participating institution in Keweenaw National Historical Park",,"https://en.wikipedia.org/wiki/Victoria_Mine,_Michigan",Ontonagon,Rockland Township
Ortonville Historical Society Museum,42.8522506,-83.4430002,Local history,,,"website, housed in an old mill",,https://en.wikipedia.org/wiki/Ortonville_Historical_Society_Museum?action=edit&redlink=1,Oakland,Ortonville
Ottawa Visitor Center,46.23,-88.95,Natural history,,,"Visitor center for Ottawa National Forest, environmental education programs, maps, area information, interpretive exhibits, accessible trails",,https://en.wikipedia.org/wiki/Ottawa_National_Forest#Ottawa_Visitor_Center,Iron,Watersmeet
Our Savior's Historical Museum,44.24361111,-86.32083333,Local history,,,Historic Danish Evangelical Lutheran church with exhibits on early Scandinavian settlement in the area,,https://en.wikipedia.org/wiki/Our_Saviour's_Evangelical_Lutheran_Church,Manistee,Manistee
Paint Creek Center for the Arts,42.680588,-83.1338214,Art,,,"website, visual arts center",,https://en.wikipedia.org/wiki/Paint_Creek_Center_for_the_Arts?action=edit&redlink=1,Oakland,Rochester
Parker Mill,42.27388889,-83.66861111,Mill,,,Late 19th-century working grain mill,,https://en.wikipedia.org/wiki/Parker_Mill,Washtenaw,Ann Arbor
Pascoe House Museum,46.406606,-87.97569,Historic house,,,"website, operated by the Republic Area Historical Society",,https://en.wikipedia.org/wiki/Pascoe_House_Museum?action=edit&redlink=1,Marquette,Republic
Phoenix Church and Museum,47.38944444,-88.27611111,Religious,,,Restored 19th-century Catholic church,,"https://en.wikipedia.org/wiki/Church_of_the_Assumption_(Phoenix,_Michigan)",Keweenaw,Phoenix
Pine Forest Historical Museum,43.408087,-85.038632,Local history,,,[53],,https://en.wikipedia.org/wiki/Pine_Forest_Historical_Museum?action=edit&redlink=1,Montcalm,Edmore
Pioneer Log Village,43.8020626,-83.0004744,Open-air,,,"website, operated by the Bad Axe Historical Society, pioneer home, general store, school, chapel, barn and blacksmith shop",,https://en.wikipedia.org/wiki/Pioneer_Log_Village?action=edit&redlink=1,Huron,Bad Axe
Podunk House & Pioneer Museum,42.7978061,-83.7049498,Local history,,,"website, home and museum for the Pioneer Memorial Association of Fenton & Mundy Townships; 1837 Greek-revival pioneer family home, museum with tools and artifacts of early settlers",,https://en.wikipedia.org/wiki/Podunk_House_&_Pioneer_Museum?action=edit&redlink=1,Genesee,Fenton
Rathbone School,47.45666667,-88.16277778,School,,,"Operated by the Keweenaw County Historical Society, 19th-century period one-room school, participating institution in Keweenaw National Historical Park",,https://en.wikipedia.org/wiki/Rathbone_School,Keweenaw,Eagle Harbor Township
Rentschler Farm Museum,42.17638889,-83.76083333,"Agriculture, open-air",,,"Operated by the Saline Historical Society, farm living between the years 1900–1950 with a house and 11 farm outbuildings",,https://en.wikipedia.org/wiki/Rentschler_Farm_Museum,Washtenaw,Saline
Rockland Township Historical Museum,46.7014842,-89.2394906,Local history,,,[54],,https://en.wikipedia.org/wiki/Rockland_Township_Historical_Museum?action=edit&redlink=1,Ontonagon,Rockland Township
Saarinen House + Gardens,42.583645,-83.2454883,Historic house,,,"website, home and studio designed by Eliel Saarinen, part of the Cranbrook Art Museum",,https://en.wikipedia.org/wiki/Saarinen_House?action=edit&redlink=1,Oakland,Bloomfield Hills
Saint Joseph Mercy Health Exploration Station,42.7269261,-84.6433146,Medical,,,"website, health education learning center, open for individuals and families to tour the exhibit gallery on the fourth Thursday of each month",,https://en.wikipedia.org/wiki/Saint_Joseph_Mercy_Health_Exploration_Station?action=edit&redlink=1,Eaton,Canton
Samuel Adams Historical Museum,42.1372282,-83.3634084,Local history,,,Operated by the Huron Township Historical Society[5][57],,https://en.wikipedia.org/wiki/Samuel_Adams_Historical_Museum?action=edit&redlink=1,Wayne,Huron Township
Samuel Kingsley House,42.2222614,-83.3965995,Historic house,,,"1855 house, stop along the Underground Railroad[5]",,https://en.wikipedia.org/wiki/Samuel_Kingsley_House?action=edit&redlink=1,Wayne,Romulus
(SCENE) Metrospace,42.731981,-84.482153,Art,,,Alternative arts center,,https://en.wikipedia.org/wiki/(SCENE)_Metrospace,Ingham,East Lansing
Schmaltz Geology Museum and Dinosaur Park,42.291707,-85.5872286,Natural History (geology and fossils),,,Part of Western Michigan University,,,Kalamazoo,Kalamazoo
Selinsky-Green Farmhouse Museum,42.4969652,-82.8890965,Historic house,,,"website, late 19th-century period immigrant's house, located behind the St. Clair Shores Public Library, operated by the St. Clair Shores Historical Commission[60]",,https://en.wikipedia.org/wiki/Selinsky-Green_Farmhouse_Museum?action=edit&redlink=1,Macomb,Saint Clair Shores
SS City of Milwaukee,44.25944444,-86.315,Museum ship,,,Great Lakes railroad car ferry,,https://en.wikipedia.org/wiki/SS_City_of_Milwaukee,Manistee,Manistee
St. Mary's Historical Museum,43.7152941,-82.7402112,Historic house,,,"Polish settler log cabin, open by appointment[62]",,https://en.wikipedia.org/wiki/St._Mary's_Historical_Museum?action=edit&redlink=1,Huron,Ruth
St. Mary's Preparatory Museums,42.59388889,-83.35777778,Multiple,,,"Includes nine small museums of Polish military and political history, gallery of Polish art",,https://en.wikipedia.org/wiki/St._Mary's_Preparatory,Oakland,Orchard Lake
